name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads	Bracken_estimate	GuaCAMOLE_estimate	GuaCAMOLE_est_eff	GC content	Taxon Removal Cycle
Comamonas odontotermitis	379895	S	260	276	536	0.00004	0.00002	0.00000	0.00002	63	4.0
Comamonas serinivorans	1082851	S	213	225	438	0.00003	0.00002	0.00002	0.00002	70	nan
Comamonas kerstersii	225992	S	211	232	443	0.00003	0.00002	0.00000	0.00001	62	4.0
Comamonas testosteroni	285	S	189	841	1030	0.00007	0.00006	0.00000	0.00005	64	4.0
Comamonas piscis	1562974	S	158	172	330	0.00002	0.00001	0.00000	0.00001	64	4.0
Comamonas thiooxydans	363952	S	134	419	553	0.00004	0.00003	0.00000	0.00003	64	4.0
Hydrogenophaga sp. BPS33	2651974	S	352	465	817	0.00005	0.00003	0.00000	0.00003	67	5.0
Hydrogenophaga sp. YM1	2806262	S	348	432	780	0.00005	0.00003	0.00000	0.00003	70	5.0
Hydrogenophaga sp. SL48	2806347	S	347	418	765	0.00005	0.00003	0.00000	0.00003	68	5.0
Hydrogenophaga sp. PBC	795665	S	265	326	591	0.00004	0.00002	0.00003	0.00002	69	nan
Hydrogenophaga sp. RAC07	1842537	S	248	320	568	0.00004	0.00002	0.00000	0.00002	66	4.0
Hydrogenophaga sp. PAMC20947	2565558	S	186	196	382	0.00003	0.00001	0.00000	0.00001	63	3.0
Hydrogenophaga sp. PBL-H3	434010	S	169	278	447	0.00003	0.00002	0.00000	0.00002	67	5.0
Hydrogenophaga crocea	2716225	S	367	516	883	0.00006	0.00003	0.00000	0.00004	70	5.0
Hydrogenophaga taeniospiralis	65656	S	304	463	767	0.00005	0.00003	0.00000	0.00003	66	5.0
uncultured Hydrogenophaga sp.	199683	S	242	277	519	0.00003	0.00002	0.00002	0.00002	69	nan
Hydrogenophaga crassostreae	1763535	S	113	118	231	0.00002	0.00001	0.00000	0.00001	63	3.0
Diaphorobacter sp. Y-1	3036128	S	792	1426	2218	0.00015	0.00010	0.00000	0.00010	67	5.0
Diaphorobacter sp. HDW4A	2714924	S	303	429	732	0.00005	0.00003	0.00000	0.00003	63	4.0
Diaphorobacter sp. HDW4B	2714925	S	282	361	643	0.00004	0.00002	0.00000	0.00002	63	4.0
Diaphorobacter ruginosibacter	1715720	S	430	653	1083	0.00007	0.00004	0.00000	0.00004	66	4.0
Diaphorobacter aerolatus	1288495	S	359	753	1112	0.00007	0.00005	0.00000	0.00005	65	4.0
Rhodoferax sp. BAB1	2741720	S	363	417	780	0.00005	0.00003	0.00000	0.00003	67	5.0
Rhodoferax sp. AJA081-3	2752316	S	176	185	361	0.00002	0.00001	0.00000	0.00001	62	3.0
Rhodoferax sp. PAMC 29310	2822760	S	117	129	246	0.00002	0.00001	0.00000	0.00001	59	3.0
Rhodoferax koreense	1842727	S	576	644	1220	0.00008	0.00004	0.00000	0.00005	68	5.0
Rhodoferax sediminis	2509614	S	413	435	848	0.00006	0.00003	0.00000	0.00003	66	4.0
Rhodoferax saidenbachensis	1484693	S	285	310	595	0.00004	0.00002	0.00000	0.00002	63	4.0
Rhodoferax ferrireducens	192843	S	210	225	435	0.00003	0.00002	0.00000	0.00001	61	4.0
Rhodoferax antarcticus	81479	S	144	153	297	0.00002	0.00001	0.00000	0.00001	61	3.0
Rhodoferax aquaticus	2527691	S	139	153	292	0.00002	0.00001	0.00000	0.00001	59	4.0
Paracidovorax avenae	80867	S	882	4086	4968	0.00033	0.00027	0.00032	0.00030	69	nan
Paracidovorax citrulli	80869	S	333	584	917	0.00006	0.00004	0.00005	0.00004	70	nan
Paracidovorax cattleyae	80868	S	212	338	550	0.00004	0.00002	0.00000	0.00003	69	5.0
Delftia tsuruhatensis	180282	S	419	1254	1673	0.00011	0.00008	0.00010	0.00009	69	nan
Delftia acidovorans	80866	S	345	637	982	0.00007	0.00004	0.00005	0.00005	69	nan
Paenacidovorax monticola	1926868	S	1428	1692	3120	0.00021	0.00011	0.00015	0.00013	70	nan
Alicycliphilus denitrificans	179636	S	1373	2464	3837	0.00026	0.00017	0.00020	0.00018	69	nan
Melaminivora suipulveris	2109913	S	585	703	1288	0.00009	0.00005	0.00006	0.00005	69	nan
Melaminivora jejuensis	1267217	S	471	548	1019	0.00007	0.00004	0.00004	0.00004	69	nan
Ottowia sp. SB7-C50	3081231	S	267	354	621	0.00004	0.00002	0.00003	0.00003	68	nan
Ottowia sp. oral taxon 894	1658672	S	233	240	473	0.00003	0.00002	0.00000	0.00002	67	5.0
Ottowia testudinis	2816950	S	275	295	570	0.00004	0.00002	0.00000	0.00002	67	5.0
Ottowia oryzae	2109914	S	250	282	532	0.00004	0.00002	0.00002	0.00002	67	nan
Ramlibacter tataouinensis	94132	S	1013	1081	2094	0.00014	0.00007	0.00000	0.00008	70	5.0
Polaromonas sp. JS666	296591	S	297	535	832	0.00006	0.00004	0.00000	0.00003	63	4.0
Polaromonas naphthalenivorans	216465	S	349	365	714	0.00005	0.00002	0.00000	0.00002	64	4.0
Simplicispira suum	2109915	S	562	657	1219	0.00008	0.00004	0.00000	0.00004	64	4.0
Pulveribacter suum	2116657	S	467	530	997	0.00007	0.00004	0.00000	0.00004	70	5.0
Serpentinimonas maccroryi	1458426	S	191	242	433	0.00003	0.00002	0.00000	0.00002	67	5.0
Serpentinimonas raichei	1458425	S	177	204	381	0.00003	0.00001	0.00000	0.00001	67	5.0
Limnohabitans sp. 63ED37-2	1678128	S	168	221	389	0.00003	0.00001	0.00000	0.00001	62	4.0
Hylemonella gracilis	80880	S	320	330	650	0.00004	0.00002	0.00000	0.00002	67	4.0
Kinneretia sp. DAIF2	2714952	S	180	192	372	0.00002	0.00001	0.00000	0.00001	70	5.0
Curvibacter sp. AEP1-3	1844971	S	158	224	382	0.00003	0.00002	0.00000	0.00001	61	4.0
Candidatus Symbiobacter mobilis	1436290	S	136	136	272	0.00002	0.00001	0.00000	0.00001	62	4.0
Bordetella hinzii	103855	S	37802	38958	76760	0.00515	0.00262	0.00310	0.00281	68	nan
Advenella alkanexedens	1481665	S	31021	31357	62378	0.00419	0.00210	0.00200	0.00185	51	nan
Achromobacter sp. AONIH1	1758194	S	184	242	426	0.00003	0.00002	0.00000	0.00002	69	5.0
Achromobacter xylosoxidans	85698	S	270	473	743	0.00005	0.00003	0.00000	0.00003	68	5.0
Achromobacter denitrificans	32002	S	120	137	257	0.00002	0.00001	0.00000	0.00001	69	5.0
Achromobacter deleyi	1353891	S	100	163	263	0.00002	0.00001	0.00000	0.00001	68	5.0
Alcaligenes faecalis	511	S	165	198	363	0.00002	0.00001	0.00000	0.00001	58	4.0
Paenalcaligenes faecalis	2980099	S	117	118	235	0.00002	0.00001	0.00000	0.00001	46	4.0
Caldimonas thermodepolymerans	215580	S	119	144	263	0.00002	0.00001	0.00000	0.00001	71	4.0
Methylibium petroleiphilum	105560	S	121	173	294	0.00002	0.00001	0.00000	0.00001	70	5.0
Sphaerotilus sp. FB-5	2914710	S	125	135	260	0.00002	0.00001	0.00000	0.00001	70	4.0
Leptothrix cholodnii	34029	S	138	152	290	0.00002	0.00001	0.00000	0.00001	70	4.0
Aquincola tertiaricarbonis	391953	S	108	121	229	0.00002	0.00001	0.00000	0.00001	70	5.0
Piscinibacter sp. XHJ-5	3037797	S	102	105	207	0.00001	0.00001	0.00000	0.00001	69	4.0
uncultured Paucibacter sp.	398562	S	133	139	272	0.00002	0.00001	0.00000	0.00001	68	4.0
Xylophilus rhododendri	2697032	S	164	179	343	0.00002	0.00001	0.00000	0.00001	70	5.0
Xylophilus sp. GOD-11R	3089814	S	119	125	244	0.00002	0.00001	0.00001	0.00001	69	nan
Rhizobacter gummiphilus	946333	S	142	153	295	0.00002	0.00001	0.00000	0.00001	70	4.0
Neisseria subflava	28449	S	14976	17248	32224	0.00216	0.00116	0.00110	0.00103	52	nan
Neisseria sp. RH3002v2g	1871109	S	4925	6528	11453	0.00077	0.00044	0.00042	0.00039	51	nan
Neisseria sp. DTU_2021_1001991_1_SI_NGA_ILE_055	3077590	S	4871	6286	11157	0.00075	0.00042	0.00040	0.00037	53	nan
Neisseria sp. Marseille-Q5346	2972775	S	1546	1865	3411	0.00023	0.00013	0.00012	0.00011	53	nan
Neisseria sp. oral taxon 014	641148	S	156	161	317	0.00002	0.00001	0.00000	0.00001	54	5.0
Neisseria mucosa	488	S	5291	6293	11584	0.00078	0.00042	0.00042	0.00038	53	nan
Neisseria perflava	33053	S	1135	3729	4864	0.00033	0.00025	0.00024	0.00022	52	nan
Neisseria flavescens	484	S	743	835	1578	0.00011	0.00006	0.00000	0.00005	52	5.0
Neisseria meningitidis	487	S	639	814	1453	0.00010	0.00005	0.00000	0.00005	54	5.0
Neisseria elongata	495	S	291	297	588	0.00004	0.00002	0.00000	0.00002	57	4.0
Neisseria sicca	490	S	246	689	935	0.00006	0.00005	0.00004	0.00004	53	nan
Neisseria wadsworthii	607711	S	144	146	290	0.00002	0.00001	0.00000	0.00001	50	5.0
Neisseria gonorrhoeae	485	S	137	150	287	0.00002	0.00001	0.00000	0.00001	55	5.0
Neisseria lactamica	486	S	133	153	286	0.00002	0.00001	0.00000	0.00001	54	5.0
Neisseria macacae	496	S	121	137	258	0.00002	0.00001	0.00001	0.00001	55	nan
Neisseria cinerea	483	S	117	125	242	0.00002	0.00001	0.00000	0.00001	53	5.0
Methyloversatilis sp. RAC08	1842540	S	242	252	494	0.00003	0.00002	0.00000	0.00002	66	4.0
Aromatoleum bremense	76115	S	110	146	256	0.00002	0.00001	0.00000	0.00001	66	4.0
Lacticaseibacillus paracasei	1597	S	252530	263954	516484	0.03467	0.01772	0.01655	0.01547	47	nan
Lacticaseibacillus rhamnosus	47715	S	377	452	829	0.00006	0.00003	0.00003	0.00003	47	nan
Lacticaseibacillus casei	1582	S	222	2694	2916	0.00020	0.00018	0.00018	0.00016	47	nan
Limosilactobacillus pontis	35787	S	169009	170703	339712	0.02280	0.01146	0.01095	0.01028	57	nan
Levilactobacillus brevis	1580	S	203	215	418	0.00003	0.00001	0.00000	0.00001	47	4.0
Lactiplantibacillus plantarum	1590	S	167	264	431	0.00003	0.00002	0.00000	0.00002	46	5.0
Ligilactobacillus salivarius	1624	S	124	124	248	0.00002	0.00001	0.00000	0.00001	33	3.0
Aerococcus loyolae	2976809	S	404124	412009	816133	0.05478	0.02766	0.02697	0.02517	44	nan
Aerococcus mictus	2976810	S	10036	10893	20929	0.00140	0.00073	0.00000	0.00067	43	4.0
Aerococcus tenax	3078812	S	8211	8773	16984	0.00114	0.00059	0.00000	0.00054	43	5.0
Aerococcus urinae	1376	S	4567	4682	9249	0.00062	0.00031	0.00000	0.00028	44	5.0
Aerococcus sp. Group 1	2976812	S	1541	1651	3192	0.00021	0.00011	0.00000	0.00010	43	4.0
Aerococcus sanguinicola	119206	S	160	160	320	0.00002	0.00001	0.00000	0.00001	49	4.0
Streptococcus toyakuensis	2819619	S	123599	149100	272699	0.01830	0.01001	0.01003	0.00928	42	nan
Streptococcus suis	1307	S	356	570	926	0.00006	0.00004	0.00004	0.00004	42	nan
Streptococcus pneumoniae	1313	S	346	1013	1359	0.00009	0.00007	0.00007	0.00006	43	nan
Streptococcus oralis	1303	S	207	1061	1268	0.00009	0.00007	0.00007	0.00007	42	nan
Streptococcus mitis	28037	S	192	229	421	0.00003	0.00002	0.00001	0.00001	42	nan
Carnobacterium viridans	174587	S	117001	121212	238213	0.01599	0.00814	0.00901	0.00822	36	nan
Staphylococcus edaphicus	1955013	S	267571	270796	538367	0.03614	0.01818	0.02082	0.01926	34	nan
Staphylococcus epidermidis	1282	S	607	651	1258	0.00008	0.00004	0.00000	0.00005	33	5.0
Staphylococcus aureus	1280	S	116	339	455	0.00003	0.00002	0.00000	0.00002	34	4.0
Macrococcus armenti	2875764	S	35112	35999	71111	0.00477	0.00242	0.00263	0.00245	36	nan
Paenibacillus amylolyticus	1451	S	50947	61737	112684	0.00756	0.00414	0.00391	0.00364	47	nan
Paenibacillus barcinonensis	198119	S	41984	42595	84579	0.00568	0.00286	0.00000	0.00251	48	5.0
Paenibacillus sp. PK1-4R	3049075	S	7753	9839	17592	0.00118	0.00066	0.00062	0.00058	47	nan
Paenibacillus sp. DCT19	2211212	S	6075	6181	12256	0.00082	0.00041	0.00041	0.00037	46	nan
Paenibacillus sp. JNUCC-31	2777983	S	4096	4288	8384	0.00056	0.00029	0.00028	0.00025	47	nan
Paenibacillus sp. E222	2748863	S	2695	2988	5683	0.00038	0.00020	0.00019	0.00018	48	nan
Paenibacillus sp. BIC5C1	3078263	S	1946	2144	4090	0.00027	0.00014	0.00013	0.00013	48	nan
Paenibacillus sp. CC-CFT742	2926710	S	1167	1757	2924	0.00020	0.00012	0.00000	0.00010	48	5.0
Paenibacillus sp. DR312	2871175	S	535	5728	6263	0.00042	0.00038	0.00036	0.00034	47	nan
Paenibacillus sp. C31	3050112	S	512	516	1028	0.00007	0.00003	0.00000	0.00003	43	4.0
Paenibacillus sp. 37	2607911	S	416	2625	3041	0.00020	0.00018	0.00017	0.00016	47	nan
Paenibacillus sp. IHBB 10380	1566358	S	238	241	479	0.00003	0.00002	0.00000	0.00001	42	4.0
Paenibacillus sp. 19GGS1-52	2758563	S	216	217	433	0.00003	0.00001	0.00000	0.00001	48	5.0
Paenibacillus sp. FSL H7-0357	1536774	S	203	206	409	0.00003	0.00001	0.00000	0.00001	50	5.0
Paenibacillus sp. CAA11	1532905	S	197	199	396	0.00003	0.00001	0.00000	0.00001	50	5.0
Paenibacillus sp. FSL P4-0081	1536769	S	195	218	413	0.00003	0.00001	0.00000	0.00001	52	5.0
Paenibacillus sp. MMS20-IR301	2895946	S	193	195	388	0.00003	0.00001	0.00000	0.00001	54	5.0
Paenibacillus sp. YPG26	2878915	S	193	195	388	0.00003	0.00001	0.00000	0.00001	51	4.0
Paenibacillus sp. BIHB 4019	1870819	S	187	187	374	0.00003	0.00001	0.00000	0.00001	50	4.0
Paenibacillus sp. FSL R7-0273	1536772	S	183	187	370	0.00002	0.00001	0.00000	0.00001	53	4.0
Paenibacillus sp. JZ16	1906272	S	183	189	372	0.00002	0.00001	0.00000	0.00001	51	5.0
Paenibacillus sp. PK3_47	2072642	S	182	184	366	0.00002	0.00001	0.00000	0.00001	52	5.0
Paenibacillus sp. G2S3	3047872	S	166	184	350	0.00002	0.00001	0.00000	0.00001	45	4.0
Paenibacillus sp. FSL R5-0345	1536770	S	155	166	321	0.00002	0.00001	0.00000	0.00001	44	4.0
Paenibacillus sp. FSL R7-0331	1536773	S	154	157	311	0.00002	0.00001	0.00000	0.00001	53	4.0
Paenibacillus sp. SYP-B4298	2996034	S	128	128	256	0.00002	0.00001	0.00000	0.00001	56	4.0
Paenibacillus sp. 481	2835869	S	126	126	252	0.00002	0.00001	0.00000	0.00001	46	4.0
Paenibacillus sp. N3/727	2925845	S	124	148	272	0.00002	0.00001	0.00001	0.00001	46	nan
Paenibacillus sp. D2_2	3073092	S	117	118	235	0.00002	0.00001	0.00001	0.00001	46	nan
Paenibacillus sp. H1-7	2282849	S	100	100	200	0.00001	0.00001	0.00000	0.00001	52	4.0
Paenibacillus xylanexedens	528191	S	8315	11794	20109	0.00135	0.00079	0.00074	0.00070	47	nan
Paenibacillus pabuli	1472	S	2356	2505	4861	0.00033	0.00017	0.00016	0.00015	47	nan
Paenibacillus xylanilyticus	248903	S	1520	2293	3813	0.00026	0.00015	0.00000	0.00013	48	5.0
Paenibacillus marchantiae	3026433	S	1438	1614	3052	0.00020	0.00011	0.00010	0.00010	48	nan
Paenibacillus polymyxa	1406	S	728	2874	3602	0.00024	0.00019	0.00018	0.00017	47	nan
Paenibacillus lutimineralis	2707005	S	698	707	1405	0.00009	0.00005	0.00000	0.00004	49	5.0
Paenibacillus urinalis	521520	S	495	508	1003	0.00007	0.00003	0.00000	0.00003	47	5.0
Paenibacillus lentus	1338368	S	462	466	928	0.00006	0.00003	0.00000	0.00003	47	5.0
Paenibacillus woosongensis	307580	S	386	392	778	0.00005	0.00003	0.00000	0.00002	52	5.0
Paenibacillus bovis	1616788	S	322	325	647	0.00004	0.00002	0.00000	0.00002	50	5.0
Paenibacillus ihbetae	1870820	S	261	264	525	0.00004	0.00002	0.00000	0.00002	54	4.0
Paenibacillus odorifer	189426	S	247	252	499	0.00003	0.00002	0.00000	0.00002	45	4.0
Paenibacillus guangzhouensis	1473112	S	236	237	473	0.00003	0.00002	0.00000	0.00001	48	5.0
Paenibacillus riograndensis	483937	S	150	183	333	0.00002	0.00001	0.00000	0.00001	53	5.0
Paenibacillus dendritiformis	130049	S	192	201	393	0.00003	0.00001	0.00000	0.00001	57	5.0
Paenibacillus physcomitrellae	1619311	S	184	193	377	0.00003	0.00001	0.00000	0.00001	52	5.0
Paenibacillus crassostreae	1763538	S	177	178	355	0.00002	0.00001	0.00000	0.00001	39	4.0
Paenibacillus stellifer	169760	S	173	176	349	0.00002	0.00001	0.00000	0.00001	56	4.0
Paenibacillus tritici	1873425	S	166	168	334	0.00002	0.00001	0.00000	0.00001	54	4.0
Paenibacillus antarcticus	253703	S	163	164	327	0.00002	0.00001	0.00000	0.00001	41	4.0
Paenibacillus peoriae	59893	S	163	409	572	0.00004	0.00003	0.00003	0.00002	47	nan
Paenibacillus azoreducens	116718	S	160	161	321	0.00002	0.00001	0.00000	0.00001	50	5.0
Paenibacillus baekrokdamisoli	1712516	S	156	157	313	0.00002	0.00001	0.00000	0.00001	46	5.0
Paenibacillus brasilensis	128574	S	154	163	317	0.00002	0.00001	0.00001	0.00001	48	nan
Paenibacillus macerans	44252	S	143	143	286	0.00002	0.00001	0.00000	0.00001	55	4.0
Paenibacillus algicola	2565926	S	139	140	279	0.00002	0.00001	0.00000	0.00001	53	4.0
Paenibacillus thiaminolyticus	49283	S	139	145	284	0.00002	0.00001	0.00000	0.00001	57	4.0
Paenibacillus kribbensis	172713	S	137	142	279	0.00002	0.00001	0.00000	0.00001	48	5.0
Paenibacillus alvei	44250	S	137	138	275	0.00002	0.00001	0.00000	0.00001	49	5.0
Paenibacillus chitinolyticus	79263	S	137	137	274	0.00002	0.00001	0.00000	0.00001	54	4.0
Paenibacillus donghaensis	414771	S	137	138	275	0.00002	0.00001	0.00000	0.00001	53	4.0
Paenibacillus durus	44251	S	125	127	252	0.00002	0.00001	0.00000	0.00001	53	5.0
Paenibacillus uliginis	683737	S	124	147	271	0.00002	0.00001	0.00001	0.00001	47	nan
Paenibacillus elgii	189691	S	121	121	242	0.00002	0.00001	0.00000	0.00001	57	4.0
Paenibacillus cellulosilyticus	375489	S	106	106	212	0.00001	0.00001	0.00000	0.00001	52	4.0
Paenibacillus andongensis	2975482	S	103	103	206	0.00001	0.00001	0.00000	0.00001	45	4.0
Paenibacillus lautus	1401	S	102	137	239	0.00002	0.00001	0.00000	0.00001	50	5.0
Paenibacillus terrae	159743	S	101	112	213	0.00001	0.00001	0.00000	0.00001	48	5.0
Hydrogenibacillus sp. N12	2866627	S	12195	12221	24416	0.00164	0.00082	0.00096	0.00088	67	nan
Blautia luti	89014	S	297885	318358	616243	0.04136	0.02137	0.02060	0.01924	44	nan
Blautia wexlerae	418240	S	1575	1717	3292	0.00022	0.00012	0.00000	0.00011	43	4.0
Lachnoclostridium phocaeense	1871021	S	111001	114224	225225	0.01512	0.00767	0.00000	0.00682	53	5.0
[Clostridium] scindens	29347	S	753	763	1516	0.00010	0.00005	0.00000	0.00005	49	4.0
Enterocloster clostridioformis	1531	S	84638	86059	170697	0.01146	0.00578	0.00553	0.00512	51	nan
Enterocloster bolteae	208479	S	2415	2445	4860	0.00033	0.00016	0.00000	0.00014	52	5.0
Claveliimonas bilis	3028070	S	1284	1301	2585	0.00017	0.00009	0.00000	0.00008	46	4.0
Roseburia intestinalis	166486	S	558	613	1171	0.00008	0.00004	0.00000	0.00004	43	4.0
Roseburia hominis	301301	S	487	509	996	0.00007	0.00003	0.00003	0.00003	51	nan
Anaerostipes hadrus	649756	S	121	123	244	0.00002	0.00001	0.00000	0.00001	38	4.0
Flavonifractor plautii	292800	S	318167	324291	642458	0.04312	0.02177	0.02202	0.02109	64	nan
Lawsonibacter asaccharolyticus	2108523	S	6983	7179	14162	0.00095	0.00048	0.00000	0.00046	63	5.0
Oscillibacter hominis	2763056	S	4655	4751	9406	0.00063	0.00032	0.00000	0.00030	61	5.0
Faecalibacterium prausnitzii	853	S	1197	1528	2725	0.00018	0.00010	0.00000	0.00009	61	4.0
Faecalibacterium sp. I4-1-79	2929494	S	643	881	1524	0.00010	0.00006	0.00000	0.00005	59	5.0
Dysosmobacter welbionis	2093857	S	1996	2164	4160	0.00028	0.00015	0.00000	0.00014	63	5.0
Vescimonas fastidiosa	2714353	S	297	312	609	0.00004	0.00002	0.00000	0.00002	61	4.0
Vescimonas coprocola	2714355	S	150	160	310	0.00002	0.00001	0.00000	0.00001	63	4.0
Ruthenibacterium lactatiformans	1550024	S	353	358	711	0.00005	0.00002	0.00000	0.00002	59	5.0
Anaerotruncus colihominis	169435	S	176	187	363	0.00002	0.00001	0.00000	0.00001	56	5.0
Pusillibacter faecalis	2714358	S	123	126	249	0.00002	0.00001	0.00000	0.00001	56	4.0
Symbiobacterium thermophilum	2734	S	87107	87110	174217	0.01169	0.00585	0.00741	0.00665	70	nan
Romboutsia sp. CE17	2724150	S	49131	50575	99706	0.00669	0.00339	0.00478	0.00447	28	nan
Clostridioides difficile	1496	S	270	280	550	0.00004	0.00002	0.00000	0.00002	29	4.0
Intestinimonas butyriciproducens	1297617	S	1456	1464	2920	0.00020	0.00010	0.00000	0.00009	62	5.0
Massilistercora timonensis	2086584	S	359	374	733	0.00005	0.00003	0.00000	0.00002	54	5.0
Flintibacter sp. KGMB00164	2610895	S	105	105	210	0.00001	0.00001	0.00000	0.00001	61	4.0
Clostridium sp. M62/1	411486	S	273	308	581	0.00004	0.00002	0.00000	0.00002	53	4.0
Hungatella hathewayi	154046	S	136	139	275	0.00002	0.00001	0.00000	0.00001	51	5.0
Eubacterium callanderi	53442	S	668	669	1337	0.00009	0.00004	0.00000	0.00004	50	4.0
Maliibacterium massiliense	2086585	S	269	270	539	0.00004	0.00002	0.00000	0.00002	64	4.0
Corynebacterium pseudotuberculosis	1719	S	622349	625740	1248089	0.08378	0.04200	0.03911	0.03651	53	nan
Nocardia iowensis	204891	S	79730	79866	159596	0.01071	0.00536	0.00623	0.00564	68	nan
Homoserinibacter sp. YIM 151385	2985506	S	413878	414603	828481	0.05561	0.02783	0.03898	0.03825	73	nan
Paenarthrobacter sp. GOM3	2782567	S	145066	146143	291209	0.01955	0.00981	0.01032	0.00948	63	nan
Ruania zhangjianzhongii	2603206	S	66082	66125	132207	0.00887	0.00444	0.00558	0.00500	70	nan
Demequina sp. TMPB413	2881056	S	51912	51952	103864	0.00697	0.00349	0.00391	0.00355	66	nan
Streptomyces noursei	1971	S	161936	175203	337139	0.02263	0.01176	0.01667	0.01575	73	nan
Streptomyces roseirectus	2768066	S	105697	106760	212457	0.01426	0.00717	0.01006	0.00926	73	nan
Streptomyces parvus	66428	S	54299	58911	113210	0.00760	0.00395	0.00533	0.00510	72	nan
Streptomyces sampsonii	42239	S	21589	58254	79843	0.00536	0.00391	0.00594	0.00552	74	nan
Streptomyces subrutilus	36818	S	23285	23702	46987	0.00315	0.00159	0.00210	0.00230	74	nan
Amycolatopsis acidiphila	715473	S	120989	121164	242153	0.01625	0.00813	0.01072	0.00976	71	nan
Frankia sp. ArI3	1858	S	96458	97000	193458	0.01299	0.00651	0.00918	0.00885	73	nan
Micromonospora sp. HUAS 3	3028804	S	66881	67360	134241	0.00901	0.00452	0.00631	0.00623	73	nan
Aeromicrobium marinum	219314	S	66944	67053	133997	0.00899	0.00450	0.00602	0.00552	72	nan
Bifidobacterium breve	1685	S	363	749	1112	0.00007	0.00005	0.00000	0.00005	60	4.0
Bifidobacterium longum	216816	S	159	221	380	0.00003	0.00001	0.00000	0.00001	61	4.0
Spiroplasma culicicola	216935	S	44880	45022	89902	0.00603	0.00302	0.00464	0.00434	26	nan
Spiroplasma diminutum	216936	S	39532	39821	79353	0.00533	0.00267	0.00321	0.00407	23	nan
Mycoplasmoides gallisepticum	2096	S	44456	44816	89272	0.00599	0.00301	0.00364	0.00337	31	nan
Flavobacterium sp. KACC 22763	3025668	S	105026	109249	214275	0.01438	0.00733	0.00819	0.00763	34	nan
Flavobacterium sp. N3904	2986835	S	82188	82478	164666	0.01105	0.00554	0.00624	0.00577	35	nan
Flavobacterium litorale	2856519	S	180242	180455	360697	0.02421	0.01211	0.01263	0.01179	38	nan
Lutibacter profundi	1622118	S	78827	78897	157724	0.01059	0.00530	0.00690	0.00633	29	nan
Algibacter sp. L1A34	2686365	S	57066	57490	114556	0.00769	0.00386	0.00453	0.00419	32	nan
Chryseobacterium panacisoli	1807141	S	38924	39985	78909	0.00530	0.00268	0.00286	0.00266	38	nan
Chryseobacterium sp. MA9	2966625	S	12603	12962	25565	0.00172	0.00087	0.00098	0.00087	37	nan
Chryseobacterium sp. MEBOG07	2879939	S	3460	3497	6957	0.00047	0.00023	0.00027	0.00023	38	nan
Chryseobacterium sp. D764	2856522	S	2282	6279	8561	0.00057	0.00042	0.00046	0.00042	37	nan
Chryseobacterium sp. JV274	1932669	S	2059	5063	7122	0.00048	0.00034	0.00037	0.00034	37	nan
Chryseobacterium sp. StRB126	878220	S	1442	1461	2903	0.00019	0.00010	0.00000	0.00010	36	5.0
Chryseobacterium sp. MEBOG06	2879938	S	871	877	1748	0.00012	0.00006	0.00000	0.00006	37	5.0
Chryseobacterium sp. G0186	2487064	S	666	690	1356	0.00009	0.00005	0.00000	0.00005	37	5.0
Chryseobacterium sp. G0162	2487063	S	320	344	664	0.00004	0.00002	0.00000	0.00002	37	4.0
Chryseobacterium sp. T16E-39	2015076	S	254	255	509	0.00003	0.00002	0.00000	0.00002	35	4.0
Chryseobacterium sp. SG20098	3074145	S	253	485	738	0.00005	0.00003	0.00003	0.00003	37	nan
Chryseobacterium sp.	1871047	S	194	195	389	0.00003	0.00001	0.00000	0.00001	37	4.0
Chryseobacterium sp. PCH239	2825845	S	189	418	607	0.00004	0.00003	0.00003	0.00003	37	nan
Chryseobacterium sp. Y16C	2920939	S	182	190	372	0.00002	0.00001	0.00000	0.00001	36	5.0
Chryseobacterium sp. IHB B 17019	1721091	S	182	182	364	0.00002	0.00001	0.00000	0.00001	37	5.0
Chryseobacterium sp. MMS21-Ot14	2983606	S	180	180	360	0.00002	0.00001	0.00000	0.00001	40	4.0
Chryseobacterium sp. WX	3031803	S	168	375	543	0.00004	0.00003	0.00003	0.00002	38	nan
Chryseobacterium sp. G0201	2487065	S	151	152	303	0.00002	0.00001	0.00000	0.00001	35	4.0
Chryseobacterium sp. LJ668	2864040	S	115	115	230	0.00002	0.00001	0.00000	0.00001	36	4.0
Chryseobacterium sp. CY350	2997336	S	100	100	200	0.00001	0.00001	0.00000	0.00001	36	4.0
Chryseobacterium indologenes	253	S	5018	5151	10169	0.00068	0.00035	0.00036	0.00034	38	nan
Chryseobacterium gleum	250	S	611	658	1269	0.00009	0.00004	0.00005	0.00004	38	nan
Chryseobacterium aureum	2497456	S	503	508	1011	0.00007	0.00003	0.00000	0.00003	39	5.0
Chryseobacterium cucumeris	1813611	S	387	412	799	0.00005	0.00003	0.00000	0.00003	38	5.0
Chryseobacterium arthrosphaerae	651561	S	276	283	559	0.00004	0.00002	0.00000	0.00002	40	5.0
Chryseobacterium gallinarum	1324352	S	259	262	521	0.00003	0.00002	0.00000	0.00002	38	5.0
Chryseobacterium capnotolerans	2759528	S	178	181	359	0.00002	0.00001	0.00000	0.00001	36	4.0
